"name","address","phone","email","schedule_link","imax_technology","latitude","longitude"
"Helios Kielce","ul. Świętokrzyska 20, Kielce","+48 41 332 13 30","kielce@helios.pl","https://www.helios.pl/13,Kielce/Repertuar/","0","50.88051972326799","20.64768284083923"
"Helios Konin","ul. Paderewskiego 8, Konin","+48 63 242 02 67","konin@helios.pl","https://www.helios.pl/14,Konin/Repertuar/","0","52.238404071991454","18.259646868740067"
"Helios Koszalin","ul. Jana Pawła II 20, Koszalin","+48 94 711 01 67","koszalin@helios.pl","https://www.helios.pl/68,Koszalin/Repertuar/","0","54.206943239819026","16.185775278922357"
"Helios Krosno","ul. Bieszczadzka 29, Krosno","+48 13 495 12 50","krosno@helios.pl","https://www.helios.pl/55,Krosno/Repertuar/","0","49.67713010054","21.77613533871067"
"Helios Legionowo","Piłsudskiego 31C, Legionowo","+48 22 206 38 12","legionowo@helios.pl","https://www.helios.pl/61,Legionowo/Repertuar/","0","52.396487556051085","20.933348947145888"
"Helios Legnica","ul. Najświętszej Marii Panny 9, Legnica","+48 76 862 00 80","legnica@helios.pl","https://www.helios.pl/30,Legnica/Repertuar/","0","51.209485324657734","16.16433739326696"
"Helios Lubin","ul. Generała Władysława Sikorskiego 20, Lubin","+48 76 724 97 90","lubin@helios.pl","https://www.helios.pl/31,Lubin/Repertuar/","0","51.39402893877838","16.205964236593726"
"Helios Łomża","al. Legionów 46, Łomża","+48 86 224 14 06","lomza@helios.pl","https://www.helios.pl/67,Lomza/Repertuar/","0","53.17296520909119","22.067008587110223"
"Helios Łódź","Al. Politechniki 1, Łódź","+48 42 299 92 72","lodz.sukcesja@helios.pl","https://www.helios.pl/47,Lodz/Repertuar/","0","51.74974957854736","19.44845429940128"
"Helios Nowy Sącz","ul. Lwowska 80, Nowy Sącz","+48 18 440 11 73","nowy.sacz@helios.pl","https://www.helios.pl/39,Nowy-Sacz/Repertuar/","0","49.62397222099489","20.706033526862875"
"Helios Olsztyn","Al. Piłsudskiego 16, Olsztyn","+48 89 535 20 00","olsztyn@helios.pl","https://www.helios.pl/16,Olsztyn/Repertuar/","0","53.77711758782555","20.482800511881003"
"Helios Opole","Wrocławska 152/154, Opole","+48 77 543 01 29","opole.karolinka@helios.pl","https://www.helios.pl/66,Opole/Repertuar/","0","50.681610469904875","17.883255114554984"
"Helios Opole Solaris","Pl. Kopernika 17, Opole","+48 77 402 50 30","opole@helios.pl","https://www.helios.pl/17,Opole/Repertuar/","0","50.67051852973646","17.926130821033922"
"Helios Ostrów Wielkopolski","ul. Kaliska 120, Ostrów Wielkopolski","+48 62 590 25 27","ostrow.wielkopolski@helios.pl","https://www.helios.pl/65,Ostrow-Wielkopolski/Repertuar/","0","51.659367151931036","17.84848600371626"
"Helios Pabianice","ul. Grobelna 8, Pabianice","+48 42 288 19 76","pabianice@helios.pl","https://www.helios.pl/60,Pabianice/Repertuar/","0","51.66076326749611","19.358502432172184"
"Helios Piła","Al. Powst. Wielkopolskich 99, Piła","+48 67 349 14 16","pila@helios.pl","https://www.helios.pl/28,Pila/Repertuar/","0","53.15860509730956","16.756921327721226"
"Helios Piotrków Trybunalski","ul. Słowackiego 123, Piotrków Trybunalski","+48 44 715 91 55","piotrkow@helios.pl","https://www.helios.pl/19,Piotrkow-Trybunalski/Repertuar/","0","51.411402739134196","19.66739843071053"
"Helios Płock","ul. Wyszogrodzka 144, Płock","+48 24 363 34 46","plock@helios.pl","https://www.helios.pl/29,Plock/Repertuar/","0","52.534932718369795","19.75717812375217"
"Helios Poznań","ul. Pleszewska 1, Poznań","+48 61 622 72 97","poznan@helios.pl","https://www.helios.pl/50,Poznan/Repertuar/","0","52.397633597482546","16.956290002662204"
"Helios Przemyśl","ul. Wojciecha Brudzewskiego 1, Przemyśl","+48 16 733 16 02","przemysl@helios.pl","https://www.helios.pl/52,Przemysl/Repertuar/","0","49.790810150841395","22.78321289870589"
"Helios Radom","ul. Poniatowskiego 5, Radom","+48 48 340 07 89","radom@helios.pl","https://www.helios.pl/20,Radom/Repertuar/","0","51.39055196434273","21.151998371702287"
"Helios Rzeszów Galeria Rzeszów","Al. Piłsudskiego 44, Rzeszów","+48 17 777 12 90","galeriarzeszow@helios.pl","https://www.helios.pl/36,Rzeszow/Repertuar/","0","50.04185527883409","21.998100661258473"
"Helios Rzeszów Powstańców W-wy","Al. Powstańców Warszawy 14, Rzeszów","+48 17 854 00 64","rzeszow@helios.pl","https://www.helios.pl/21,Rzeszow/Repertuar/","0","50.019116968082734","21.990691782208824"
"Helios Siedlce","ul. Piłsudskiego 74, Siedlce","+48 25 786 35 80","siedlce@helios.pl","https://www.helios.pl/43,Siedlce/Repertuar/","0","52.16904413968986","22.269439015594813"
"Helios Sosnowiec","ul. Modrzejowska 32b, Sosnowiec","+48 32 363 14 14","sosnowiec@helios.pl","https://www.helios.pl/22,Sosnowiec/Repertuar/","0","50.27547531452034","19.13193933558235"
"Helios Stalowa Wola","ul. Fryderyka Chopina 42, Stalowa Wola","+48 15 306 11 36","stalowa.wola@helios.pl","https://www.helios.pl/56,Stalowa-Wola/Repertuar/","0","50.584336970158795","22.064505363846038"
"Helios Starachowice","ul. Ks. Kardynała Stefana Wyszyńskiego 14, Starachowice","+48 41 262 97 05","starachowice@helios.pl","https://www.helios.pl/44,Starachowice/Repertuar/","0","51.0364981340241","21.087213427486994"
"Helios Szczecin CHR Kupiec","ul. Bolesława Krzywoustego 9-10, Szczecin","+48 91 485 12 36","szczecin@helios.pl","https://www.helios.pl/23,Szczecin/Repertuar/","0","53.42662541981596","14.542421371164693"
"Helios Szczecin Outlet Park","ul. Andrzeja Struga 42, Szczecin","+48 91 810 67 60","szczecin.outletpark@helios.pl","https://www.helios.pl/35,Szczecin/Repertuar/","0","53.38034755818751","14.671247736743219"
"Helios Tczew","ul. Pomorska 1, Tczew","+48 58 777 26 17","tczew@helios.pl","https://www.helios.pl/33,Tczew/Repertuar/","0","54.09638902300392","18.787588514850242"
"Helios Tomaszów Mazowiecki","ul. Warszawska 1, Tomaszów Mazowiecki","+48 44 737 01 47","tomaszow@helios.pl","https://www.helios.pl/53,Tomaszow-Mazowiecki/Repertuar/","0","51.53446337752163","20.008136792951788"
"Helios Warszawa Blue City","Aleje Jerozolimskie 179, Warszawa","+48 22 206 38 17","warszawa.bluecity@helios.pl","https://www.helios.pl/57,Warszawa/Repertuar/","0","52.21249910307101","20.955633117398957"
"Helios Wołomin","ul. Geodetów 2, Wołomin","+48 22 212 54 14","wolomin@helios.pl","https://www.helios.pl/54,Wolomin/Repertuar/","0","52.35653688037137","21.258070971164692"
"Helios Wrocław Aleja Bielany","ul. Czekoladowa 7-9, Bielany Wrocławskie, Kobierzyce","+48 71 712 10 42","wroclaw.bielany@helios.pl","https://www.helios.pl/48,Wroclaw/Repertuar/","0","51.048852242373556","16.95993069514578"
"Helios Wrocław Magnolia Park","ul. Legnicka 58, Wrocław","+48 71 355 53 54","wroclaw.legnicka@helios.pl","https://www.helios.pl/3,Wroclaw/Repertuar/","0","51.11819102658211","16.987191275309165"
"Helios Żory","ul. Katowicka 10, Żory","+48 32 750 60 24","zory@helios.pl","https://www.helios.pl/64,Zory/Repertuar/","0","50.045247689342105","18.703396741533773"
